n,listLength,G,delta,alpha,recall,precision,F value,MAE,备注
200,80,1.6,500,0.1,2.05461%,16.9995%,3.66612%,0,UGT3
200,90,1.6,500,0.1,2.14580%,16.7926%,3.80535%,0,UGT3
200,100,1.6,500,0.1,2.22091%,16.5467%,3.91618%,0,UGT3
200,10,1.6,500,0.1,0.77078%,17.6122%,1.47692%,0,UGT4
200,20,1.6,500,0.1,1.01391%,17.0880%,1.91424%,0,UGT4
200,30,1.6,500,0.1,1.14841%,16.3235%,2.14586%,0,UGT4
200,40,1.6,500,0.1,1.29843%,16.4806%,2.40721%,0,UGT4
200,50,1.6,500,0.1,1.37602%,15.9951%,2.53405%,0,UGT4
200,60,1.6,500,0.1,1.43810%,15.5655%,2.63294%,0,UGT4
200,70,1.6,500,0.1,1.50018%,15.3601%,2.73339%,0,UGT4
200,80,1.6,500,0.1,1.55191%,15.1668%,2.81571%,0,UGT4
200,90,1.6,500,0.1,1.62950%,15.2764%,2.94488%,0,UGT4
200,100,1.6,500,0.1,1.68641%,15.2478%,3.03693%,0,UGT4
200,10,1.6,500,0.1,0.57415%,16.3111%,1.10926%,0,UGT5
200,20,1.6,500,0.1,0.79056%,16.5129%,1.50889%,0,UGT5
200,30,1.6,500,0.1,0.96281%,17.1924%,1.82350%,0,UGT5
200,40,1.6,500,0.1,1.10414%,17.6429%,2.07822%,0,UGT5
200,50,1.6,500,0.1,1.16155%,17.2233%,2.17634%,0,UGT5
200,60,1.6,500,0.1,1.19689%,16.6666%,2.23339%,0,UGT5
200,70,1.6,500,0.1,1.25430%,16.6471%,2.33284%,0,UGT5
200,80,1.6,500,0.1,1.32497%,16.7973%,2.45619%,0,UGT5
200,90,1.6,500,0.1,1.40446%,17.0418%,2.59507%,0,UGT5
200,100,1.6,500,0.1,1.43980%,16.7695%,2.65191%,0,UGT5
200,10,1.6,500,0.1,0.78116%,18.9610%,1.50051%,0,UGT6
200,20,1.6,500,0.1,1.07544%,19.0340%,2.03585%,0,UGT6
200,30,1.6,500,0.1,1.24130%,18.1960%,2.32406%,0,UGT6
200,40,1.6,500,0.1,1.39111%,17.8817%,2.58141%,0,UGT6
200,50,1.6,500,0.1,1.51952%,17.6947%,2.79871%,0,UGT6
200,60,1.6,500,0.1,1.61048%,17.2591%,2.94607%,0,UGT6
200,70,1.6,500,0.1,1.70679%,17.2060%,3.10552%,0,UGT6
200,80,1.6,500,0.1,1.78705%,17.1282%,3.23643%,0,UGT6
200,90,1.6,500,0.1,1.81915%,16.7570%,3.28201%,0,UGT6
200,100,1.6,500,0.1,1.86730%,16.6746%,3.35851%,0,UGT6
200,10,1.6,500,0.1,0.78671%,18.5439%,1.50939%,0,UGT7
200,20,1.6,500,0.1,1.07808%,18.2987%,2.03621%,0,UGT7
200,30,1.6,500,0.1,1.28787%,18.2343%,2.40583%,0,UGT7
200,40,1.6,500,0.1,1.43356%,17.9562%,2.65515%,0,UGT7
200,50,1.6,500,0.1,1.50349%,17.2806%,2.76631%,0,UGT7
200,60,1.6,500,0.1,1.62004%,17.5726%,2.96659%,0,UGT7
200,70,1.6,500,0.1,1.67832%,17.4334%,3.06187%,0,UGT7
200,80,1.6,500,0.1,1.74825%,17.4216%,3.17762%,0,UGT7
200,90,1.6,500,0.1,1.81235%,17.3743%,3.28232%,0,UGT7
200,100,1.6,500,0.1,1.85314%,17.2077%,3.34595%,0,UGT7
200,10,1.6,500,0.1,0.72213%,16.5865%,1.38401%,0,UGT8
200,20,1.6,500,0.1,0.96807%,16.0034%,1.82571%,0,UGT8
200,30,1.6,500,0.1,1.16692%,16.0431%,2.17560%,0,UGT8
200,40,1.6,500,0.1,1.28205%,16.0550%,2.37449%,0,UGT8
200,50,1.6,500,0.1,1.35531%,16.0074%,2.49903%,0,UGT8
200,60,1.6,500,0.1,1.40240%,15.7832%,2.57593%,0,UGT8
200,70,1.6,500,0.1,1.43380%,15.4802%,2.62452%,0,UGT8
200,80,1.6,500,0.1,1.48613%,15.5106%,2.71238%,0,UGT8
200,90,1.6,500,0.1,1.50183%,15.2822%,2.73489%,0,UGT8
200,100,1.6,500,0.1,1.54892%,15.5217%,2.81676%,0,UGT8
200,10,1.6,500,0.1,0.91239%,18.6868%,1.73984%,0,UGT9
200,20,1.6,500,0.1,1.18981%,18.0880%,2.23276%,0,UGT9
200,30,1.6,500,0.1,1.33160%,17.4616%,2.47451%,0,UGT9
200,40,1.6,500,0.1,1.41175%,16.8506%,2.60523%,0,UGT9
200,50,1.6,500,0.1,1.49189%,16.3956%,2.73492%,0,UGT9
200,60,1.6,500,0.1,1.60286%,16.4661%,2.92134%,0,UGT9
200,70,1.6,500,0.1,1.73232%,16.7361%,3.13966%,0,UGT9
200,80,1.6,500,0.1,1.81246%,16.5261%,3.26666%,0,UGT9
